,Country,Region-Geo,Continent,Region,Year,Year_cat,AgriculturalLand,BodyMassIndex_M,BodyMassIndex_F,Cellphones,ChildrenPerWoman,CO2Emissions,DemocracyScore,EnergyUsePerPerson,Exports,Femalesaged25to54labourforceparticipationrate,Forestarea,GDPpercapita,Governmenthealthspendingperpersontotal,Hightotechnologyexports,Hourlycompensation,Imports,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission,RankTotalGDPUS,RankAgriculturalLand,RankChildrenPerWoman,RankDemocracyScore,RankExports,RankImports,RankIncomePerPerson,RankLifeExpectancy,RankPopulationdensity,RankYearlyCO2emission,TotalRankValue,AverageRanking
91,Hungary,Europe - Eastern,Europe,Europe & Central Asia,2000,[2000],65.32024102,26.32296,25.484170000000002,30.12845054,1.307,5.606719981,10.0,2.448233376,74.60437723,70.40000153,19070.0,4542.72072,230.6185176,26.53428609,2.74000001,78.05400195,27184.70173,,,9.8,9.743096099,6.999384325,71.86,,,3.099999905,38.488,,2.379586,2.852015,1.9546540000000001,0.6707771229999999,-0.259764908,10210545.0,109.75299999999999,0.39,99.887,,966.0973446,13.07655,22.64186995,23.0,46385589534.0,326.02620160000004,-3.449624713,11.148539999999999,64.575,-0.45593319299999996,57247.666670000006,49.0,28.0,14.0,31.0,17.0,153.0,53.0,76.0,74.0,144.0,639.0,63.9
92,Iceland,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],22.75311721,26.29702,25.38278,76.41833505,2.005,7.692945958999999,,11.0231646,33.57633025,88.09999847,180.0,30928.675639999998,2472.918087,12.85538733,,40.85498668,62184.050879999995,,,3.1,3.637614685,44.47132454,79.72,,,0.200000003,32.779,3.4,2.104,,,3.243127912,1.369192833,281210.0,2.73,,102.425,,2156.641795,,26.05342088,23.0,8697298234.0,3034.0944329999998,-7.278656432000001,,92.40100000000001,1.536213546,2163.333333,87.0,142.0,57.0,0.0,86.0,88.0,19.0,7.0,198.0,71.0,755.0,83.88888888888889
93,India,Asia - Southern,Asia,South Asia,2000,[2000],61.40643551,20.779320000000002,20.9538,0.33941564,3.145,1.1258729140000001,9.0,0.433831508,12.82483055,41.5,653900.0,450.41510610000006,5.08230115,6.255549228,,14.15216756,3296.417559,,,66.6,3.654974165,0.52753245,62.129,,,,22.599,,,,,0.100718465,1.687896609,1053898107.0,320.6,,78.805,,75.0644667,,8.967594755,106.0,475000000000.0,19.569397199999997,-0.922649994,,27.666999999999998,2.45710326,1186555.3329999999,12.0,38.0,113.0,43.0,150.0,5.0,154.0,136.0,25.0,185.0,861.0,86.1
94,Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,2000,[2000],25.21404086,21.14825,22.21378,1.719496677,2.484,1.234304899,6.0,0.7269529709999999,40.97730855,57.20000076,994090.0,773.3109699,5.47015315,16.37362789,,30.45956744,5429.8878079999995,,,41.1,20.4474593,0.925563864,67.289,,,,24.795,0.162,,,,0.237596348,1.313506794,213395411.0,112.044,,96.01299999999999,,148.20013740000002,,,49.0,165000000000.0,15.13273463,10.517741099999999,,42.001999999999995,4.431958978,263395.0,25.0,136.0,84.0,76.0,68.0,47.0,139.0,118.0,72.0,170.0,935.0,93.5
95,Iran,Asia - Southern,Asia,Middle East & North Africa,2000,[2000],38.61349053,24.85189,25.7761,1.473157082,2.193,5.703332935,3.0,1.882135313,22.70745811,31.70000076,110750.0,1550.090608,96.18621655,0.607823088,,17.43240419,17201.46749,,,28.4,26.44230458,0.93419002,69.611,,,,22.006,,,,,0.956988334,1.641769419,65342319.0,39.645,,94.134,,476.26393909999996,,6.341889787,39.0,101000000000.0,231.00405279999998,5.275053927,,64.042,2.8374846710000003,372669.0,35.0,97.0,67.0,93.0,122.0,11.0,76.0,105.0,137.0,179.0,922.0,92.2
96,Iraq,Asia - Western,Asia,Middle East & North Africa,2000,[2000],21.26346114,26.18983,27.6393,0.0,4.965,3.0363111889999996,-9.0,1.06674825,,17.79999924,8180.0,1063.481473,0.39,,,,7903.485452,,,35.8,47.3800706,,70.845,74.05220113,84.79680343,,18.28,,,,,,3.067719425,23857458.0,54.43,,77.245,,,,,66.0,25857106736.0,34.26055252,,,67.83,2.741885173,72438.66667,59.0,145.0,150.0,148.0,0.0,0.0,114.0,88.0,119.0,151.0,974.0,139.14285714285714
97,Ireland,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],64.04412832,26.969040000000003,26.019920000000003,64.69879962,1.9509999999999998,10.83580018,10.0,3.60837034,97.34550318,64.90000153,6350.0,25629.6501,1172.124431,47.83989232,13.27999973,84.01566799,61655.95368,2.910120091,27.23060286,6.0,,17.84392784,76.66,,,,32.478,2.2,1.0297319999999999,1.619407,0.4248777,2.159956675,1.341967292,3803780.0,54.129,,102.876,,1681.61097,18.47537,25.7732509,19.0,97524453299.0,1561.436461,13.33065855,10.173630000000001,59.146,1.748471721,41217.0,38.0,31.0,53.0,31.0,6.0,157.0,20.0,35.0,120.0,134.0,625.0,62.5
98,Isle of Man,Europe - Northern,Europe,Europe & Central Asia,2000,[2000],71.92982456,,,,,,,,,,30.0,20359.462519999997,,,,,56956.03712000001,,,,3.267054312,,,,,,,,,,,,1.193242489,76803.0,134.27100000000002,,,,,,,,1563667800.0,,,,51.823,1.208680842,,140.0,14.0,0.0,0.0,0.0,0.0,27.0,0.0,60.0,0.0,241.0,60.25
99,Israel,Asia - Western,Asia,Middle East & North Africa,2000,[2000],26.15526802,26.2625,26.519679999999997,73.15102878,2.9210000000000003,10.42158323,10.0,2.901714422,37.30419158,68.40000153,1530.0,19859.30215,932.2330036000001,28.9739031,11.40999985,37.38203838,45669.85669,,,5.6,1.622163227,19.964201899999996,78.75,,,,27.94,3.766,3.123014,4.716532,1.533169,,2.642331746,6014953.0,271.617,,99.51,,1980.1751219999999,7.603524,28.73665087,17.0,125000000000.0,1456.730744,-0.296870085,5.566803,91.20299999999999,2.716260311,62685.333329999994,28.0,132.0,105.0,31.0,77.0,72.0,32.0,13.0,35.0,147.0,672.0,67.2
100,Italy,Europe - Southern,Europe,Europe & Central Asia,2000,[2000],53.16718235,25.94303,24.76417,74.13356983,1.22,7.863283608,10.0,3.012218919,26.76879547,57.90000153,83690.0,19388.27875,1126.7543130000001,9.476507205,14.47000027,25.81535497,54320.93686,2.303302632,26.80495528,4.7,1.944997532,23.12882205,79.73,,,6.5,40.272,4.2,0.9749167999999999,1.502052,0.4543306,1.641218195,0.045303631,56986329.0,189.12400000000002,,97.566,,1058.9692009999999,4.725869,23.07125724,7.0,1100000000000.0,1553.920709,0.9534405,11.62597,67.222,0.13459998199999998,448099.6667,7.0,62.0,6.0,31.0,108.0,36.0,29.0,6.0,47.0,181.0,513.0,51.3
